District,Neighborhood,Adrtisement_Date,m²_(Gross),m²_(Net),Number_of_rooms,Building_Age,Floor_location,Number_of_floors,Heating,Number_of_bathrooms,Balcony,Furnished,Using_status,Available_for_Loan,From_who,Swap,Front_West,Front_East,Front_South,Front_North,ADSL,Wood_Joinery,Smart_House,Alarm_(Thief),Alarm_(Fire),Alaturka_Toilet,Aluminum_joinery,American_Door,American_kitchen,Built-in_on,Elevator,Balcony.1,Barbecue,Household_appliances,Painted,Dishwasher,Refrigerator,Wall_paper,Shower,Parents'_Bathroom,Fiber_Internet,On,Dressing_room,Closet,Video_intercom,Hilton_Bathroom,Intercom_System,Insulating_glass,Jacuzzi,Plasterboard,Cellar,Air_conditioning,Tub,Laminate_Floor,Marley,Furniture,Kitchen_(Built-in),Kitchen_(Laminate),Kitchen_Natural_Gas,PVC_Joinery,Blinds,Parquet_Floor,Ceramic_Floor,Set_Top_Cooker,Spot_Lighting,Terrace,Thermosiphon,Cloakroom,Wi-Fi,Face_Recognition_&_Fingerprint,Washing_Machine,Washing_machine,Laundry_room,Steel_door,Water_heater,Fireplace,Elevator.1,Steam_room,Security,Bath,Booster,Thermal_Insulation,Generator,Cable_TV,Closed_Garage,Doorman,Nursery,With_Private_Pool,Car_park,Playground,Sauna,Sound_insulation,Siding,Sports_Area,Water_tank,Tennis_court,Satellite,Fire_escape,Swimming_Pool_(Open),Swimming_Pool_(Indoor),Parking_Lot,Elevator.2,Bathroom,Wide_Corridor,Entrance_/_Ramp,Stairs,Kitchen,Room_door,Park,Socket_/_Electric_Switch,Handle_/_Railing,Toilet,Swimming_pool,The_mall,municipality,Mosque,Cemevi,Next_to_sea_shore,Pharmacy,Amusement_center,Fair,Hospital,Synagogue,The_church,High_school,Market,Park.1,Police_station,The_health_clinic,District_Market,Gym,Unirsity,Primary_School-Secondary_School,Fire_Department,Town_center,Highway,Eurasia_Tunnel,Bosphorus_Bridges,Street,Sea_bus,Filled,E-5,Airport,Marmaray,Metro,Metrobus,Minibus,Bus_stop,Coast,TEM,Cable_car,Tram,Railway_station,Trolley_bus,Scaffolding,Throat,Sea,Nature,Lake,Pool,Park_&_​​Green_Area,City,Mezzanine,Mezzanine_Duplex,Garden_Duplex,Garden_Floor,Garden,Top_floor,Garage_/_Shop_Top,Entrance_floor,Floor_Duplex,Private_Entry,Rerse_Duplex,Triplex,Ground_floor,Roof_Duplex,Pick_Up_Data_Time,y_true_tl,y_pred_tl,abs_error_tl
Beşiktaş,Etiler Mah.,02.01.2020,210,200.0,4+1,31  and more than,5,6,Natural Gas (Combi),2,Available,No,Free,Yes,From the real estate office,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,9500000.000000015,1556960.1720797333,7943039.827920281
Beşiktaş,Etiler Mah.,04.01.2020,190,170.0,4+1,31  and more than,2,4,Center (Share Meter),2,Available,No,Property owner,Yes,From the real estate office,No,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,1801906.5131562685,7911093.486843649
Beşiktaş,Ulus Mah.,02.01.2020,350,325.0,5+1,4,Garden Floor,5,Natural Gas (Combi),4,Available,No,Free,Yes,From the real estate office,No,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,01.10.2020,9712999.999999918,1916764.088025737,7796235.9119741805
Beşiktaş,Ortaköy Mh.,03.01.2020,255,197.0,4+1,4,4,4,Center (Share Meter),4,Available,No,Free,Yes,From the real estate office,No,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,01.10.2020,9712999.999999918,1948011.0322698182,7764988.967730099
Beşiktaş,Vişnezade Mh.,28.12.2019,400,340.0,4+1,4,4,8,Underfloor heating,5,Available,No,Free,Yes,From the real estate office,Yes,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2066307.3518811248,7646692.648118793
Beşiktaş,Ulus Mah.,06.01.2020,420,350.0,5+1,31  and more than,Garden Floor,3,Central system,3,Available,No,Tenant,Yes,From the real estate office,No,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2132612.376135424,7580387.623864494
Beşiktaş,Ulus Mah.,30.12.2019,600,550.0,7+3,31  and more than,3,3,Central system,3,Available,No,Property owner,Yes,From the real estate office,No,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2134790.9766372503,7578209.023362668
Beşiktaş,Ulus Mah.,28.12.2019,240,200.0,4+1,21-25 between,1,2,Center (Share Meter),3,Available,No,Free,Yes,From the real estate office,No,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2203391.294965724,7509608.7050341945
Beşiktaş,Ulus Mah.,02.01.2020,300,290.0,5+1,16-20 between,Garden Floor,5,Center (Share Meter),3,Available,No,Free,Yes,From the real estate office,No,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2204433.855740647,7508566.144259271
Sarıyer,İstinye Mh.,23.12.2019,350,315.0,5+1,5-10 between,Garden Floor,4,Natural Gas (Combi),3,Available,No,Tenant,Yes,From the real estate office,No,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01.08.2020,9712999.999999918,2226491.3147583455,7486508.685241573
Kadıköy,Suadiye Mah.,02.01.2020,270,190.0,3+1,2,1,3,Center (Share Meter),2,Available,No,Tenant,Yes,From the real estate office,No,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.07.2020,8999999.999999996,1545755.9654840156,7454244.034515981
Beşiktaş,Ulus Mah.,30.12.2019,450,449.0,5+2,4,5,5,Center (Share Meter),5,Available,No,Free,Yes,From the real estate office,No,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,01.10.2020,9712999.999999918,2271646.83281945,7441353.167180467
Beşiktaş,Akat Mah.,02.01.2020,340,296.0,5+1,26-30 between,6,6,Central system,3,Available,No,Property owner,Yes,From the real estate office,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,01.10.2020,9500000.000000015,2124943.538978637,7375056.461021378
Beşiktaş,Bebek Mah.,29.12.2019,270,250.0,4+1,31  and more than,4,4,Natural Gas (Combi),2,Available,No,Tenant,Yes,From the real estate office,No,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2430691.916233723,7282308.083766195
Beşiktaş,Ulus Mah.,30.12.2019,328,290.0,3+2,16-20 between,1,4,Central system,3,Available,No,Free,Yes,From the real estate office,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,8999999.999999996,1722250.7483465387,7277749.251653457
Sarıyer,İstinye Mh.,04.01.2020,340,310.0,3+1,5-10 between,Garden Floor,3,Natural Gas (Combi),3,Available,No,Property owner,Yes,From the real estate office,No,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01.08.2020,9712999.999999918,2440277.4093958237,7272722.590604095
Sarıyer,Rumeli Hisarı Mh.,03.01.2020,240,220.0,4+1,31  and more than,1,4,Natural Gas (Combi),2,Available,No,Free,Yes,From the real estate office,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.08.2020,8625000.000000004,1359731.2904360772,7265268.709563927
Beşiktaş,Etiler Mah.,02.01.2020,350,330.0,6+1,21-25 between,2,5,Central system,4,Available,No,Tenant,Yes,From the real estate office,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2457111.104137096,7255888.8958628215
Beşiktaş,Etiler Mah.,01.01.2020,350,330.0,5+1,21-25 between,5,5,Center (Share Meter),4,Available,No,Property owner,Yes,From the real estate office,No,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,01.10.2020,9500000.000000015,2441945.059066119,7058054.940933896
Beşiktaş,Levazım Mh.,05.01.2020,350,300.0,4+1,5-10 between,Garden Floor,5,Central system,3,Absent,No,Free,Yes,From the real estate office,No,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2656707.0701036677,7056292.92989625
Beşiktaş,Lent Mah.,31.12.2019,360,300.0,4+1,5-10 between,30  and more than,30  and more than,Center (Share Meter),4,Available,No,Free,Yes,From the real estate office,No,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,8999999.999999996,1970498.5823287275,7029501.417671269
Üsküdar,Salacak Mah.,02.01.2020,235,197.0,3+2,0,3,3,Natural Gas (Combi),2,Available,No,Free,Yes,From the real estate office,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01.07.2020,7900000.000000005,875401.5147505873,7024598.485249417
Beşiktaş,Bebek Mah.,02.01.2020,200,178.0,4+1,11-15 between,2,4,Natural Gas (Combi),2,Available,Yes,Free,Yes,From the real estate office,Yes,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,8750000.000000007,1927351.4579064515,6822648.542093556
Beşiktaş,Etiler Mah.,04.01.2020,380,350.0,5+1,5-10 between,2,3,Center (Share Meter),4,Available,No,Free,Yes,From the real estate office,No,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,9712999.999999918,2999749.516593894,6713250.483406024
Beyoğlu,Kılıçali Paşa Mh.,12.12.2019,200,180.0,3+1,31  and more than,5,5,Natural Gas (Combi),1,Available,No,Tenant,Yes,From the real estate office,No,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,8000000.000000002,1346911.170402291,6653088.829597711
Sarıyer,Yeniköy Mh.,23.12.2019,260,240.0,5+1,26-30 between,5,6,Natural Gas (Combi),3,Available,No,Property owner,Yes,From the real estate office,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.08.2020,8000000.000000002,1758201.4667662522,6241798.53323375
Beyoğlu,Müeyyetzade Mh.,29.12.2019,210,210.0,2+1,26-30 between,Entrance floor,5,Natural Gas (Combi),2,Available,No,Free,Yes,From the real estate office,No,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,01.10.2020,6950000.000000006,866467.617325146,6083532.38267486
Beşiktaş,Ulus Mah.,05.01.2020,280,250.0,4+1,21-25 between,3,4,Central system,2,Available,No,Tenant,Yes,From the real estate office,No,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020,8299999.999999997,2230096.4461006317,6069903.5538993655
Sarıyer,İstinye Mh.,19.12.2019,280,260.0,5+1,5-10 between,5,5,Center (Share Meter),3,Available,No,Tenant,Yes,From the real estate office,No,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,01.08.2020,8400000.000000006,2425381.450206139,5974618.549793866
