feature,gain,split
District,127697.51769115272,6530
Neighborhood,122192.46467603151,8268
m²_(Gross),98514.92526994609,2150
m²_(Net),38653.97664827063,1347
Number_of_bathrooms,24277.162735014168,658
Number_of_rooms,17476.186350557153,1887
Floor_location,11124.03032074301,4130
Heating,10392.717233173578,557
Air_conditioning,8244.018153190613,65
total_rooms,8227.01254583383,81
Building_Age,3738.545932549055,2386
Generator,3299.322893422097,80
Number_of_floors,2439.607990670871,2614
Closed_Garage,2390.2095563653857,174
Sea,2152.228659104556,332
Built-in_on,1914.1147629320621,102
net_gross_ratio,1673.7582029613448,1137
Swap,1509.8936686583875,175
amenity_luxury_count,1418.3100505243056,369
Dishwasher,987.5185221070424,132
Parents'_Bathroom,863.0283008079277,17
Pick_Up_Data_Time_dow,841.7736170877761,78
Security,839.0167378012557,221
Alaturka_Toilet,700.3968227505684,52
amenity_security_count,642.0113768011506,156
Garden_Floor,640.8159957528114,60
Kitchen_(Built-in),612.4401994943619,85
Roof_Duplex,413.42651586127613,197
Mezzanine,389.7990453359853,347
District_Market,293.9425086759966,125
Cemevi,261.61063465251937,82
From_who,230.6467770573081,451
Using_status,224.4697664167549,573
Balcony,223.5405523449599,212
Doorman,209.1517110967543,82
Elevator.1,196.12529470217123,196
Coast,193.76638621091843,14
Minibus,174.51496645063162,56
TEM,139.3438081392378,166
listing_age_days,137.2936104359269,448
Household_appliances,122.29596642032266,89
Room_door,116.7061518728733,35
The_health_clinic,101.46817043988267,181
Cloakroom,96.21283639594913,15
Water_heater,95.65935727953911,39
Swimming_Pool_(Indoor),77.2360639624676,78
The_church,76.48620009422302,5
amenity_count,75.99629441125217,174
Cable_car,73.84115942474455,132
Closet,65.95465974754188,136
Laminate_Floor,65.68565968552139,41
Swimming_Pool_(Open),59.953256983077154,60
Stairs,58.62745385989547,77
Barbecue,57.24665022668932,1619
Metro,56.40795857459307,15
City,55.70437179406872,87
Car_park,53.11000977832009,98
Marley,51.05698174983263,21
E-5,50.5941519892076,73
Elevator,48.058908024191624,126
Mosque,47.96437071694527,39
Bosphorus_Bridges,41.876099586486816,4
Throat,41.26046103461313,1760
Satellite,40.6291985273383,163
Adrtisement_Date_day,37.81029142655825,139
Kitchen_(Laminate),37.782533602498006,121
Cable_TV,37.00086367953918,192
Water_tank,36.49711490543996,94
Scaffolding,35.248729944229126,4
Furniture,34.81145444512367,17
Kitchen_Natural_Gas,33.33024432943878,142
Painted,28.734534005168825,114
Blinds,28.69798195362091,3
Metrobus,27.364581763744354,15
Wall_paper,27.07839268539101,52
Toilet,26.623909950256348,3
Tram,24.593181322328746,49
Fire_escape,22.614685504784575,159
Aluminum_joinery,22.20658153295517,22
Sound_insulation,22.141408905386925,25
Front_South,21.18550814653281,116
Insulating_glass,20.85958970169304,131
Pick_Up_Data_Time_month,19.879521571099758,19
Ceramic_Floor,18.771419011070975,170
American_Door,18.66817256808281,3
Kitchen,18.131309185177088,4
Adrtisement_Date_dow,17.46626938549889,198
Refrigerator,17.226440941914916,48
Entrance_/_Ramp,15.343652870506048,21
Plasterboard,15.281673899153247,52
Dressing_room,14.762269924394786,79
American_kitchen,14.403096318244934,10
Filled,13.868003875948489,36
Terrace,13.590732173994184,22
Adrtisement_Date_month,13.319038767833263,11
Handle_/_Railing,12.776843152940273,13
Primary_School-Secondary_School,12.7311592400074,10
PVC_Joinery,12.598465487040812,36
Bathroom,12.158220171928406,3
