feature,gain,split
Tennis_court,11.828538324683905,66
Thermal_Insulation,11.733388300985098,35
High_school,11.70183802722022,36
Parquet_Floor,11.663350818391336,50
Top_floor,11.630241760984063,14
Socket_/_Electric_Switch,11.332740068435669,2
Fiber_Internet,10.690973633667454,69
Video_intercom,10.344847132219002,51
Adrtisement_Date_year,9.709878761321306,6
Street,9.636627505067736,22
Smart_House,9.347104171290994,62
Wi-Fi,9.025485527701676,68
Parking_Lot,8.594384165728115,96
Eurasia_Tunnel,7.803563952445984,4
Balcony.1,7.756766960024834,4
Nursery,7.528175449930131,58
Booster,7.432030081748962,3
Steel_door,6.225670929998159,26
Police_station,5.879516089858953,97
Playground,5.56525993347168,2
Front_East,5.528888531678149,148
Fair,4.981610286980867,5
Marmaray,4.818327669643622,80
Unirsity,3.172423810174223,46
Fire_Department,3.15681192278862,3
Airport,3.145603797864169,30
Front_West,2.757565505162347,43
Spot_Lighting,2.7464477776084095,9
Highway,2.595540961780898,13
Park.1,2.5269455928355455,4
Sauna,2.4254870489239693,5
Face_Recognition_&_Fingerprint,2.3005099296569824,1
Town_center,2.2853895547305,43
Set_Top_Cooker,2.0395253323949873,20
Front_North,1.6527642727305647,8
Furnished,1.576193992048502,23
Entrance_floor,1.4451099634170532,1
Floor_Duplex,1.3688390105962753,3
Market,1.0603260099887848,2
Pharmacy,0.9887059926986694,1
Sports_Area,0.6532869935035706,1
Alarm_(Fire),0.634129298850894,9
Wide_Corridor,0.5953029990196228,3
Park,0.5923759937286377,1
Garden,0.44115348905324936,4
Next_to_sea_shore,0.3071454018354416,6
Bus_stop,0.23812100291252136,1
Jacuzzi,0.0,0
Intercom_System,0.0,0
Alarm_(Thief),0.0,0
ADSL,0.0,0
Cellar,0.0,0
Hilton_Bathroom,0.0,0
Tub,0.0,0
On,0.0,0
Shower,0.0,0
Wood_Joinery,0.0,0
Hospital,0.0,0
Synagogue,0.0,0
Amusement_center,0.0,0
The_mall,0.0,0
municipality,0.0,0
Swimming_pool,0.0,0
Elevator.2,0.0,0
Thermosiphon,0.0,0
Fireplace,0.0,0
Washing_Machine,0.0,0
Washing_machine,0.0,0
Laundry_room,0.0,0
Steam_room,0.0,0
Bath,0.0,0
With_Private_Pool,0.0,0
Siding,0.0,0
Trolley_bus,0.0,0
Railway_station,0.0,0
Gym,0.0,0
Sea_bus,0.0,0
Rerse_Duplex,0.0,0
Pool,0.0,0
Mezzanine_Duplex,0.0,0
Garden_Duplex,0.0,0
Nature,0.0,0
Private_Entry,0.0,0
Garage_/_Shop_Top,0.0,0
Lake,0.0,0
Park_&_​​Green_Area,0.0,0
Triplex,0.0,0
Ground_floor,0.0,0
building_age_bin,0.0,0
